Team/School,Sport,League,Stadium,Capacity,City,State,lat,lon
Ohio State University,Basketball,,Schottenstein Center,19049,Columbus,OH,40.0076033,-83.0249567
Blue Jackets,Hockey,NHL,Nationwide Arena,18500,Columbus,OH,39.9691873,-83.00608
Clippers,Baseball,IL,Huntington Park,10100,Columbus,OH,39.9687278,-83.0109089
Ohio State University,,Volleyball,Covelli Center,3700,Columbus,OH,40.0139324,-83.0277306
East Texas A&M University,Football,,Memorial Stadium,11526,Commerce,TX,33.2458394,-95.9100672
Colorado Rapids,Soccer,MLS,Dick’s Sporting Goods Park,18061,Commerce City,CO,39.8059455,-104.8919219
West Michigan Whitecaps,Baseball,MW League,LMCU Ballpark,7696,Comstock Park,MI,43.0407103,-85.6603008
University of Central Arkansas,Football,,Estes Stadium,10000,Conway,AR,35.0802659,-92.4606058
University of Central Arkansas,Basketball,,Farris Center,5500,Conway,AR,35.0818116,-92.4595668
Coastal Carolina University,Football,,Brooks Stadium,20000,Conway,SC,33.7929212,-79.0174511
Tennessee Tech University,Football,,Tucker Stadium,16500,Cookeville,TN,36.1780904,-85.5061882
Tennessee Tech University,Basketball,,Hooper Eblen Center,7500,Cookeville,TN,36.1784191,-85.5098221
University of Miami,Basketball,,Watsco Center,7972,Coral Gables,FL,25.7153095,-80.2793844
University of Miami,Baseball,,Alex Rodriguez Park,3552,Coral Gables,FL,25.7118854,-80.2822793
Iowa Heartlanders,Hockey,ECHL,Xtream Arena,5100,Coralville,IA,41.6808819,-91.5619747
High School Playoffs,Basketball,,Corbin Arena,4966,Corbin,KY,36.9132166,-84.1247058
Colts,Hockey,CCHL,Ed Lumley Arena,4828,Cornwall,ON,,
Texas A&M Corpus Christi,Basketball,,Hilliard Center,8100,Corpus Christi,TX,,
Hooks,Baseball,Texas League,Whataburger Field,5050,Corpus Christi,TX,27.8099256,-97.3993292
Oregon State University,Football,,Reser Stadium,35548,Corvallis,OR,44.5595625,-123.2814752
Oregon State University,Basketball,,Gill Coliseum,9604,Corvallis,OR,44.5612668,-123.2805799
Oregon State University,Baseball,,Goss Stadium,3587,Corvallis,OR,44.563112,-123.2779213
Iowa Rampage,Indoor Football,,Mid-America Center,6793,Council Bluffs,IA,41.2375691,-95.8905888
Bucks,Hockey,BCHL,Western Financial Place,4268,Cranbrook,BC,,
Western Carolina University,Football,,E.J. Whitmire Stadium,13790,Cullowhee,NC,35.3047117,-83.1823725
Western Carolina University,Basketball,,Ramsey Center,7826,Cullowhee,NC,35.3036696,-83.1822673
High School Playoffs,Basketball,,Berry Center,8300,Cypress,TX,29.9061785,-95.6885734
University of North Georgia,Basketball,,UNG Convocation Center,3600,Dahlonega,GA,,
Red River Showdown (Oklahoma vs Texas),Football,,Cotton Bowl,92100,Dallas,TX,32.7796119,-96.7596025
SMU,Football,,Gerald J. Ford Stadium,33200,Dallas,TX,32.8377899,-96.782791
Mavericks,Basketball,NBA,American Airlines Center,18532,Dallas,TX,32.7904894,-96.810283
High School Playoffs,Basketball,,Ellis Davis Field House,7500,Dallas,TX,,
SMU,Basketball,,Moody Coliseum,7000,Dallas,TX,32.8403971,-96.7806817
Dans,Baseball,Prospect League,Danville Stadium,4500,Danville,IL,40.1095617,-87.632076
St. Ambrose University,Football,,Brady Street Stadium,10000,Davenport,IA,41.5557588,-90.567086
Quad Cities River Bandits,Baseball,MW League,Modern Woodman Park,4024,Davenport,IA,,
Davidson College,Basketball,,Belk Arena,5223,Davidson,NC,35.4992414,-80.840296
Nova Southeastern University,Basketball,,Rick Case Arena,4500,Davie,FL,,
UC Davis,Football,,UC Davis Health Stadium,10743,Davis,CA,,
UC Davis,Basketball,,University Credit Union Center,6003,Davis,CA,,
UC Davis,Baseball,,Dobbins Stadium,3500,Davis,CA,,
University of Dayton,Basketball,,UD Arena,13455,Dayton,OH,39.7347904,-84.2019314
University of Dayton,Football,,Welcome Stadium,11000,Dayton,OH,39.7369275,-84.1981121
Wright State University,Basketball,,Nutter Center,10400,Dayton,OH,,
Dragons,Baseball,Midwest League,Day Air Ballpark,6831,Dayton,OH,39.7642651,-84.1852225
University of Dayton,,Volleyball,Frericks Center,5000,Dayton,OH,39.7388317,-84.1792407
Bethune - Cookman University,Football,,Daytona Stadium,9601,Daytona Beach,FL,29.1871424,-81.0736948
Sunshine Slam,Basketball,,Ocean Center,8020,Daytona Beach,FL,29.2288255,-81.0101672
Tortugas,Baseball,Florida State League,Jackie Robinson Ballpark,4200,Daytona Beach,FL,29.209921,-81.016192
Northern Illinois University,Football,,Huskie Stadium,23595,DeKalb,IL,41.9340747,-88.7779701
Northern Illinois University,Basketball,,NIU Convocation Center,9100,DeKalb,IL,,
Ohio Wesleyan University,Football,,Selby Stadium,9100,Delaware,OH,40.2965706,-83.0633406
Delray Beach Open,Tennis,ATP,Delray Beach Stadium,8200,Delray Beach,FL,,
University of North Texas,Football,,DATCU Stadium,30850,Denton,TX,33.2039397,-97.1594204
University of North Texas,Basketball,,The Super Pit,10500,Denton,TX,33.2087178,-97.1540628
Broncos,Football,NFL,Empower Field at Mile High,76125,Denver,CO,39.743952,-105.0192228
Colorado Rockies,Baseball,MLB,Coors Field,50398,Denver,CO,39.7560314,-104.9929286
Colorado Avalanche,Hockey,NHL,Ball Arena,17809,Denver,CO,39.7486838,-105.007544
High School Championship,Basketball,,Denver Coliseum,9340,Denver,CO,39.7791138,-104.9705743
University of Denver,Hockey,,Magness Arena,6026,Denver,CO,39.6822661,-104.9616851
Iowa Wild,Hockey,AHL,Casey’s Center,15181,Des Moines,IA,41.5925082,-93.6210723
Drake University,Football,,Drake Stadium,14557,Des Moines,IA,41.6049816,-93.6550518
Iowa Cubs,Baseball,IL,Principal Park,11500,Des Moines,IA,41.5802173,-93.6166144
Drake University,Basketball,,Knapp Center,6424,Des Moines,IA,41.6047781,-93.6522633
Lions,Football,NFL,Ford Field,65000,Detroit,MI,42.3399567,-83.0456166
Tigers,Baseball,MLB,Comerica Park,41083,Detroit,MI,42.3392219,-83.0488632
Red Wings,Hockey,NHL,Little Caesars Arena,19515,Detroit,MI,42.3409774,-83.0549545
University of Detroit Mercy,Basketball,,Calihan Hall,8295,Detroit,MI,42.4143433,-83.1359254
Southwest Kansas Storm,Indoor Football,AF1,United Wireless Arena,4050,Dodge City,KS,37.7666522,-100.0626389
Dothan United,Soccer,USL League Two,Rip Hewes Stadium,10000,Dothan,AL,31.2056892,-85.4031352
Atlanta Gladiators,Hockey,ECHL,Gas South Arena,9200,Duluth,GA,33.9916013,-84.0938397
Harbor Monsters,Indoor Football,The AL,DECC Arena,4741,Duluth,MN,46.7806832,-92.0979709
University of Minnesota - Duluth,Hockey,,AMSOIL Arena,6756,Duluth,MN,46.780476,-92.0996865
Huskies,Baseball,Northwoods League,Wade Stadium,4200,Duluth,MN,46.7543372,-92.1438203
Blue Jays,Baseball,Florida State League,TD Ballpark,5509,Dunedin,FL,28.0038021,-82.786662
Duke University,Football,,Wallace Wade Stadium,31500,Durham,NC,35.9954459,-78.9418892
North Carolina Central University,Football,,O’Kelly-Riddick Stadium,10000,Durham,NC,35.9738768,-78.8970335
Bulls,Baseball,IL,Durham Bulls Athletic Park,10000,Durham,NC,35.9915839,-78.9039173
Duke University,Basketball,,Cameron Indoor Stadium,9314,Durham,NC,35.9974496,-78.9422669
Shaw University,Football,,Durham County Memorial Stadium,8000,Durham,NC,,
University of New Hampshire,Football,,Wildcat Stadium,11015,Durham,NH,43.1385921,-70.9394033
University of New Hampshire,Hockey,,Whittemore Center,6501,Durham,NH,43.1383626,-70.9348274
University of Connecticut,Football,,Rentschler Field,38066,East Hartford,CT,41.7596149,-72.6188369
Lake County Captains,Baseball,Midwest League,Classic Park,6940,Eastlake,OH,41.6412307,-81.4360086
Michigan State University,Football,,Spartan Stadium,74866,East Lansing,MI,42.7281648,-84.4857621
Michigan State University,Basketball,,Breslin Center,14759,East Lansing,MI,42.7281765,-84.4920022
Michigan State University,Hockey,,Munn Ice Arena,6114,East Lansing,MI,42.7281453,-84.4893865
Michigan State University,,Volleyball,Jenison Field House,4900,East Lansing,MI,42.7309395,-84.4900002
Lafayette College,Football,,Fisher Stadium,13132,Easton,PA,40.7005161,-75.2102787
New York Giants,Football,NFL,MetLife Stadium,82500,East Rutherford,NJ,40.8135071,-74.0743442
G,Basketball,League,Bert Ogden Arena,9324,Edinburg,TX,26.2552393,-98.1661917
UTRGV,Football,,Robert & Janet Vackar Stadium,12000,Edinburg,TX,,
UTRGV,Baseball,,UTRGV Baseball Stadium,5000,Edinburg,TX,,
University of Central Oklahoma,Football,,Chad Richison Stadium,12000,Edmond,OK,35.6614913,-97.4709356
Elks,Football,CFL,Commonwealth Stadium,56302,Edmonton,AB,,
Oilers,Hockey,NHL,Rogers Place,18500,Edmonton,AB,,
Riverhawks,Baseball,WCL,RE/MAX Field,9200,Edmonton,AB,,
Stingers,Basketball,CEBL,Edmonton Expo Centre,4000,Edmonton,AB,,
High School Playoffs,Basketball,,North Side Gymnasium,7373,Elkhart,IN,,
Pioneers,Baseball,PGCBL,Dunn Field,4486,Elmira,NY,42.0811709,-76.7795244
Aviators,Hockey,NAHL,LECOM Event Center,3784,Elmira,NY,42.0883951,-76.8085504
New York Islanders,Hockey,NHL,UBS Arena,17255,Elmont,NY,40.7116942,-73.7259229
Elon University,Football,,Rhodes Stadium,14000,Elon,NC,36.1101439,-79.5078031
Elon University,Basketball,,Schar Center,5100,Elon,NC,36.1080901,-79.5106844
UTEP,Football,,Sun Bowl,45971,El Paso,TX,31.7852657,-106.5062603
UTEP,Basketball,,Don Haskins Center,11892,El Paso,TX,31.7776138,-106.5056937
Chihuahuas,Baseball,PCL,Southwest University Park,7500,El Paso,TX,31.7591035,-106.4925143
UTEP,,Volleyball,Memorial Gym,5200,El Paso,TX,31.7757769,-106.5048753
Emporia State University,Basketball,,White Auditorium,5000,Emporia,KS,38.40433,-96.178234
Otters,Hockey,OHL,Erie Insurance Arena,6500,Erie,PA,42.1278559,-80.0809399
SeaWolves,Baseball,Eastern League,UPMC Park,4400,Erie,PA,42.1271409,-80.0801657
Florida Everblades,Hockey,ECHL,Hertz Arena,7181,Estero,FL,26.4404568,-81.7788402
Virginia State University,Basketball,,Multipurpose Center,5200,Ettrick,VA,,
University of Oregon,Football,,Autzen Stadium,54000,Eugene,OR,44.0582178,-123.0684379
University of Oregon,Basketball,,Matthew Knight Arena,12364,Eugene,OR,44.0448264,-123.0663684
Emeralds,Baseball,Northwest League,PK Park,4000,Eugene,OR,44.0590259,-123.0653727
Northwestern University,Basketball,,Welsh-Ryan Arena,7039,Evanston,IL,42.0668689,-87.6924405
University of Evansville,Basketball,,Ford Center,8930,Evansville,IN,37.9721866,-87.5678291
Otters,Baseball,Frontier League,Bosse Field,5110,Evansville,IN,37.9928387,-87.5621335
University of Southern Indiana,Basketball,,Liberty Arena,4800,Evansville,IN,37.962082,-87.6747491
Silvertips,Hockey,WHL,Angel of the Winds Arena,8149,Everett,WA,47.9785953,-122.203016
AquaSox,Baseball,Northwest League,Funko Field,3682,Everett,WA,47.9668987,-122.2025641
University of Alaska Fairbanks,Hockey,,Carlson Center,4595,Fairbanks,AK,64.8422561,-147.763987
George Mason University,Basketball,,EagleBank Arena,7688,Fairfax,VA,,
Miles College,Football,,Sloan-Alumni Stadium,8500,Fairfield,AL,,
Sacred Heart University,Hockey,,Martire Family Arena,3600,Fairfeld,CT,,
Fairfield University,Basketball,,Leo D. Mahoney Arena,3500,Fairfield,CT,,
North Dakota State University,Football,,Fargodome,18700,Fargo,ND,46.9030223,-96.8013419
North Dakota State University,Basketball,,Scheels Center,5460,Fargo,ND,46.8830732,-96.7724471
Force,Hockey,USHL,Scheels Arena,4000,Fargo,ND,46.8353637,-96.8755541
Moorhead RedHawks,Baseball,Am. Assoc.,Newman Outdoor Field,4513,Fargo,ND,46.8983108,-96.804902
University of Arkansas,Football,,Reynolds Razorback Stadium,76000,Fayetteville,AR,36.0680732,-94.1788512
University of Arkansas,Basketball,,Bud Walton Arena,19200,Fayetteville,AR,36.0615698,-94.1781075
University of Arkansas,,Volleyball,Barnhill Arena,8500,Fayetteville,AR,36.0665975,-94.1779979
University of Arkansas,Baseball,,Baum-Walker Stadium,8237,Fayetteville,AR,36.050156,-94.1831402
Marksmen,Hockey,SPHL,Crown Coliseum,8500,Fayetteville,NC,35.0146565,-78.8918692
Woodpeckers,Baseball,Carolina League,Segra Stadium,5290,Fayetteville,NC,35.0560256,-78.8833907
Fayetteville State University,Basketball,,Felton J. Capel Arena,5000,Fayetteville,NC,,
Indy Fuel,Hockey,ECHL,Fishers Event Center,7500,Fishers,IN,39.9474838,-86.0038734
Hudson Valley Renegades,Baseball,Sally League,Heritage Financial Park,4494,Fishkill,NY,41.5279656,-73.9603605
Northern Arizona University,Football,,Walkup Skydome,10000,Flagstaff,AZ,35.1805983,-111.652899
Flint City Bucks,Soccer,USL League Two,Atwood Stadium,11000,Flint,MI,43.0171616,-83.7022775
Firebirds,Hockey,OHL,Dort Federal Event Center,4339,Flint,MI,43.0110879,-83.6419318
University of North Alabama,Football,,Braly Municipal Stadium,14215,Florence,AL,34.81074,-87.6707605
Y’alls,Baseball,Frontier League,Thomas More Stadium,4500,Florence,KY,,
Pee Dee IceCats,Hockey,FPHL,Florence Civic Center,7526,Florence,SC,34.1856091,-79.8377257
Colorado State University,Football,,Canvas Stadium,36500,Fort Collins,CO,40.5698314,-105.0885062
Colorado State University,Basketball,,Moby Arena,8093,Fort Collins,CO,40.575684,-105.0932166
Inter Miami CF,Soccer,MLS,Chase Stadium,19100,Fort Lauderdale,FL,26.1932426,-80.16068
Boston Red Sox - Baseball,Spring Training,,JetBlue Park,10823,Fort Myers,FL,,
Mighty Mussels,Baseball,Florida State League,Hammond Stadium,9300,Fort Myers,FL,,
Florida Gulf Coast University,Basketball,,Alico Arena,4333,Fort Myers,FL,,
High School Championship,,Volleyball,Suncoast Credit Union Arena,3500,Fort Myers,FL,26.5480914,-81.8868503
Fort Valley State University,Football,,Wildcat Stadium,10000,Fort Valley,GA,32.5335956,-83.8953904
Fort Valley State University,Basketball,,HPE Complex,5500,Fort Valley,GA,,
Komets,Hockey,ECHL,Allen County War Memorial Coliseum,10495,Fort Wayne,IN,41.1154251,-85.1242024
TinCaps,Baseball,Midwest League,Parkview Field,6516,Fort Wayne,IN,41.0744057,-85.1425896
TCU,Football,,Amon G. Carter Stadium,46000,Fort Worth,TX,32.7097507,-97.3680395
American Athletic Conference Tournament,Basketball,,Dickies Arena,13300,Fort Worth,TX,32.7410656,-97.3684832
TCU,Basketball,,Ed and Rae Schollmaier Arena,6800,Fort Worth,TX,32.7088303,-97.3666973
High School Playoffs,Basketball,,Wilkerson-Greines Activity Center,5000,Fort Worth,TX,,
TCU,Baseball,,Lupton Stadium,4500,Fort Worth,TX,32.7028554,-97.3721701
New England Patriots,Football,NFL,Gillette Stadium,64628,Foxborough,MA,42.0908879,-71.2641731
High School Playoffs,Basketball,,Case Arena,5509,Frankfort,IN,,
Milwaukee Milkmen,Baseball,American Association,Franklin Field,4000,Franklin,WI,42.9179507,-88.015829
Keys,Baseball,MLB Draft League,Harry Grove Stadium,5400,Frederick,MD,39.4016031,-77.4142135
Nationals,Baseball,Carolina League,Virginia Credit Union Stadium,5000,Fredericksburg,VA,38.3182729,-77.5089847
Fresno State University,Football,,Valley Children’s Stadium,40727,Fresno,CA,36.8143959,-119.7580383
Fresno State University,Basketball,,Save Mart Center,15596,Fresno,CA,36.809685,-119.7385104
Grizzlies,Baseball,California League,Chukchansi Park,10650,Fresno,CA,36.7320041,-119.7902977
High School Championship,Basketball,,Selland Arena,8317,Fresno,CA,36.7329391,-119.7827459
Fresno State University,Baseball,,Pete Beiden Field,3575,Fresno,CA,36.8136223,-119.7557059
FC Dallas,Soccer,MLS,Toyota Stadium,19096,Frisco,TX,33.1542241,-96.8353657
RoughRiders,Baseball,Texas League,Riders Field,7600,Frisco,TX,33.0984515,-96.8205545
G,Basketball,League,Comerica Center,4500,Frisco,TX,33.1005522,-96.8194322
Cal State University at Fullerton,Soccer,,Titan Stadium,10000,Fullerton,CA,33.8866342,-117.886975
Cal State University at Fullerton,Basketball,,Titan Gym,4000,Fullerton,CA,,
Cal State University at Fullerton,Baseball,,Goodwin Field,3500,Fullerton,CA,33.8869736,-117.8852303
University of Florida,Football,,Ben Hill Griffin Stadium,88548,Gainesville,FL,29.6500369,-82.3487666
University of Florida,Basketball,,O'Connell Center,10151,Gainesville,FL,29.6487111,-82.3507843
University of Florida,Baseball,,Condron Family Ballpark,4700,Gainesville,FL,29.6366398,-82.3641623
Limestone College,Football,,The Reservation,8250,Gaffney,SC,35.067065,-81.6796395
High School Championship,,Volleyball,Curtis Culwell Center,6800,Garland,TX,32.959379,-96.6419595
Gary SouthShore RailCats,Baseball,American Association,U.S. Steel Yard,6139,Gary,IN,41.6029325,-87.3330176
Ghost Peppers,Baseball,Atlantic League,CaroMont Health Park,5000,Gastonia,NC,35.2632976,-81.1940473
Olympiques,Hockey,QMJHL,Slush Puppie Centre,4628,Gatineau,QC,,
Kane County Cougars,Baseball,Am. Assoc.,Northwestern Medicine Field,7400,Geneva,IL,41.8803894,-88.2818967
Arizona Cardinals,Football,NFL,State Farm Stadium,63400,Glendale,AZ,33.5277957,-112.2626719
Arizona Rattlers,Indoor Football,IFL,Desert Diamond Arena,17125,Glendale,AZ,33.5319666,-112.2613181
Los Angeles Dodgers - Baseball,Spring Training,,Camelback Ranch,10500,Glendale,AZ,,
Dragons,Baseball,PGCBL,East Field,7000,Glens Falls,NY,43.3156283,-73.6278936
Adirondack Thunder,Hockey,ECHL,Harding Mazzoti Arena,4774,Glens Falls,NY,,
Cleveland Indians - Baseball,Spring Training,,Goodyear Ballpark,8500,Goodyear,AZ,33.4284553,-112.3902971
Grambling State University,Football,,Eddie G. Robinson Stadium,19600,Grambling,LA,,
Grambling State University,Basketball,,Hobdy Assembly Center,7600,Grambling,LA,32.520387,-92.723741
University of North Dakota,Football,,Alerus Center,12283,Grand Forks,ND,47.9108002,-97.0913609
University of North Dakota,Hockey,,Ralph Engelstad Arena,11634,Grand Forks,ND,47.9277802,-97.071572
Jackalopes,Baseball,Pioneer League,Sam Suplizio Field,6949,Grand Junction,CO,39.0763387,-108.5500709
Griffins,Hockey,AHL,Van Andel Arena,10834,Grand Rapids,MI,42.9622423,-85.6715921
Calvin College,Basketball,,Van Noord Arena,5000,Grand Rapids,MI,42.9333733,-85.5886241
High School Championship,Basketball,,Pacific Steel & Recycling Arena,5054,Great Falls,MT,,
University of Northern Colorado,Football,,Nottingham Field,8533,Greeley,CO,40.4033117,-104.7051434
Packers,Football,NFL,Lambeau Field,81435,Green Bay,WI,44.5009705,-88.0619681
Gamblers,Hockey,USHL,Resch Center,8384,Green Bay,WI,44.4994911,-88.0550423
University of Wisconsin - Green Bay,Basketball,,Kress Center,4000,Green Bay,WI,44.5299288,-87.9167277
High School Playoffs,Basketball,,McAnally Center,5280,Greencastle,IN,39.6420968,-86.8426136
High School Playoffs,Basketball,,Greenfield Central HS Gym,4620,Greenfield,IN,,
North Carolina A&T University,Football,,Truist Stadium,21500,Greensboro,NC,36.0817178,-79.7700999
Gargoyles,Hockey,ECHL,First Horizon Coliseum,22000,Greensboro,NC,,
North Carolina A&T Univ.,Baseball,,War Memorial Stadium,7500,Greensboro,NC,36.0797983,-79.7782038
Grasshoppers,Baseball,Sally League,First National Bank Field,5820,Greensboro,NC,36.0764586,-79.7955509
North Carolina A&T University,Basketball,,Corbett Sports Center,5700,Greensboro,NC,,
High School Playoffs,Basketball,,Greensburg High School Gym,5041,Greensburg,IN,,
East Carolina University,Football,,Dowdy-Ficklen Stadium,50000,Greenville,NC,35.5964638,-77.3653057
East Carolina University,Basketball,,Minges Coliseum,7100,Greenville,NC,,
East Carolina University,Basketball,Clark,LeClair Stadium,5000,Greenville,NC,35.5933957,-77.3670293
Furman University,Football,,Paladin Stadium,14518,Greenville,SC,34.9201,-82.437228
Swamp Rabbits,Hockey,ECHL,Bon Secours Wellness Arena,13707,Greenville,SC,34.852706,-82.3915606
Drive,Baseball,South Atlantic League,Fluor Field,5700,Greenville,SC,34.8423478,-82.4080346
Storm,Hockey,OHL,Sleeman Centre,4715,Guelph,ON,,
Flying Boxcars,Baseball,Atlantic League,Meritus Park,4023,Hagerstown,MD,39.6402092,-77.7239659
Mooseheads,Hockey,QMJHL,Scotiabank Centre,10595,Halifax,NS,,
High School Playoffs,,Volleyball,W.G. Thomas Coliseum,5000,Haltom City,TX,,
Quinnipiac University,Basketball,,M&T Bank Arena,3570,Hamden,CT,41.4139878,-72.9111709
Colgate University,Football,,Andy Kerr Stadium,10221,Hamilton,NY,42.8164462,-75.545837
Cats,Football,CFL,Tim Hortons Field,24000,Hamilton,ON,,
Toronto Rock,Indoor Lacrosse,NLL,TD Coliseum,18000,Hamilton,ON,,
Southeastern Louisiana University,Basketball,,University Center,7500,Hammond,LA,30.52015,-90.4731241
Hampton University,Football,,Armstrong Stadium,9000,Hampton,VA,37.0204785,-76.3336038
Hampton University,Basketball,,Convocation Center,7200,Hampton,VA,37.0198537,-76.3311392
Peninsula Pilots,Baseball,Coastal Plain League,War Memorial Stadium,3750,Hampton,VA,37.0095661,-76.3872875
Detroit City FC,Soccer,USL Championship,Keyworth Stadium,7933,Hamtramck,MI,42.3924143,-83.0489614
High School Playoffs,Basketball,,Tom Drake Coliseum,5080,Hanceville,AL,34.072215,-86.7886307
Dartmouth College,Football,,Memorial Field,11000,Hanover,NH,43.7012974,-72.2842449
Dartmouth College,Hockey,,Thompson Arena,3500,Hanover,NH,43.7010426,-72.2801947
Senators,Baseball,Eastern League,FNB Field,6187,Harrisburg,PA,40.2561847,-76.8888841
New York Red Bulls,Soccer,MLS,Sports Illustrated,25000,Harrison,NJ,40.7368897,-74.1502625
James Madison University,Football,,Bridgeforth Stadium,24877,Harrisonburg,VA,38.4351564,-78.8730534
James Madison University,Basketball,,Atlantic Union Bank Center,8500,Harrisonburg,VA,38.4305438,-78.8595717
Lincoln Memorial University,Basketball,,Turner Arena,5009,Harrogate,TN,36.5780614,-83.6645013
Wolf Pack,Hockey,AHL,PeoplesBank Arena,15635,Hartford,CT,41.76848,-72.6770215
Yard Goats,Baseball,Eastern League,Dunkin’ Park,6121,Hartford,CT,41.7714803,-72.6747992
University of Southern Mississippi,Football,,M. M. Roberts Stadium,36000,Hattiesburg,MS,,
University of Southern Mississippi,Basketball,,Reed Green Coliseum,8095,Hattiesburg,MS,31.3309965,-89.3379338
University of Southern Mississippi,Baseball,,Pete Taylor Park,3434,Hattiesburg,MS,31.3336564,-89.3382063
Fort Hays State University,Basketball,,Gross Memorial Coliseum,6814,Hays,KS,38.871737,-99.3484452
Hofstra University,Basketball,,Mack Sports Complex,4712,Hempstead,NY,40.7197699,-73.5968069
Silver Knights,Hockey,AHL,Lee’s Family Forum,5567,Henderson,NV,36.0193318,-115.081418
RIT,Hockey,,Gene Polisseni Center,4000,Henrietta,NY,43.0826886,-77.6746366
Bears,Hockey,AHL,Giant Center,10500,Hershey,PA,40.2864161,-76.6690932
Lebanon Valley College,Hockey,,Hersheypark Arena,7286,Hershey,PA,40.2881065,-76.6565519
Crawdads,Baseball,Carolina League,L.P. Frans Stadium,4000,Hickory,NC,35.748841,-81.3782067
Northern Kentucky University,Basketball,,Truist Arena,8427,Highland Heights,KY,39.0320132,-84.4591054
High Point University,Basketball,,Qubein Center,4500,High Point,NC,35.9782697,-79.996878
Rockers,Baseball,Atlantic League,Truist Point,3900,High Point,NC,35.9589082,-80.0115089
Hops,Baseball,Northwest League,Ron Tonkin Field,3534,Hillsboro,OR,45.5537602,-122.9087495
G,Basketball,League,NOW Arena,10000,Hoffman Estates,IL,42.0692674,-88.2128349
University of Hawai’i,Football,,Clarence T.C. Ching Athletics Complex,15194,Honolulu,HI,21.2942909,-157.8171209
University of Hawai’i,Basketball,,Stan Sheriff Center,10300,Honolulu,HI,21.2943138,-157.8189152
Hawai’i Pacific University,Basketball,,Neal S. Blaisdell Center,7775,Honolulu,HI,,
University of Hawai’i,Baseball,,Les Murakami Stadium,4312,Honolulu,HI,21.2930535,-157.8164006
SEC Tournament,Baseball,,Hoover Metropolitan Stadium,10800,Hoover,AL,33.3384313,-86.8497813
High School Championship,Basketball,,Bank OZK Arena,6300,Hot Springs,AR,,
Michigan Tech University,Hockey,,MacInnes Student Ice Arena,4466,Houghton,MI,47.1124889,-88.5457772
Texans,Football,NFL,NRG Stadium,71795,Houston,TX,29.6848581,-95.4108015
Rice University,Football,,Rice Stadium,47000,Houston,TX,29.7163227,-95.4093245
Astros,Baseball,MLB,Daikin Park,41168,Houston,TX,29.7572321,-95.3552344
University of Houston,Football,,TDECU Stadium,40000,Houston,TX,29.721879,-95.3491855
Dynamo,Soccer,MLS,Shell Energy Stadium,21000,Houston,TX,29.7520265,-95.3523409
Rockets,Basketball,NBA,Toyota Center,18023,Houston,TX,29.7507473,-95.3622315
Texas Southern University,Basketball,,Health and Physical Ed Arena,8100,Houston,TX,,
University of Houston,Basketball,,Fertitta Center,7035,Houston,TX,29.7247367,-95.346961
High School Playoffs,Basketball,,M.O. Campbell Educational Center,6400,Houston,TX,,
Rice University,Baseball,,Reckling Park,6193,Houston,TX,29.7135453,-95.4040634
Rice University,Basketball,,Tudor Fieldhouse,5208,Houston,TX,29.714983,-95.4039871
High School Playoffs,,Volleyball,Delmar Fieldhouse,5000,Houston,TX,,
University of Houston,Baseball,,Darryl & Lori Schroeder Park,3500,Houston,TX,,
Marshall University,Football,,Joan C. Edwards Stadium,30475,Huntington,WV,38.4248685,-82.4210088
Marshall University,Basketball,,Cam Henderson Center,9043,Huntington,WV,38.4244628,-82.4251394
Alabama A&M University,Football,,Louis Crews Stadium,21000,Huntsville,AL,34.783607,-86.5785086
Havoc,Hockey,SPHL,Propst Arena,6000,Huntsville,AL,34.7267938,-86.5901107
Alabama A&M University,Basketball,,AAMU Event Center,6000,Huntsville,AL,,
Sam Houston State University,Football,,Elliott T. Bowers Stadium,14000,Huntsville,TX,,
Sam Houston State University,Basketball,,Bernard G. Johnson Coliseum,6100,Huntsville,TX,30.7129053,-95.5462087
High School Playoffs,Basketball,,Huron Arena,4848,Huron,SD,,
High School Championship,Basketball,,Hutchinson Sports Arena,6500,Hutchinson,KS,38.065616,-97.916053
Kansas City Mavericks,Hockey,ECHL,Cable Dahmer Arena,5800,Independence,MO,39.0398613,-94.3574967
Indiana University of Pennsylvania,Basketball,,Kovalchick Complex,5000,Indiana,PA,40.6125306,-79.1598889
Colts,Football,NFL,Lucas Oil Stadium,63000,Indianapolis,IN,39.7590621,-86.1638376
Indiana Pacers,Basketball,NBA,Gainbridge Fieldhouse,17274,Indianapolis,IN,39.7639331,-86.1555024
Indians,Baseball,IL,Victory Field,12230,Indianapolis,IN,39.764898,-86.1688593
Indy Eleven,Soccer,USL Championship,Carroll Stadium,12111,Indianapolis,IN,39.7709571,-86.1778494
Butler University,Basketball,,Hinkle Fieldhouse,9100,Indianapolis,IN,39.8435958,-86.1674277
High School Playoffs,Basketball,,Southport Fieldhouse,7124,Indianapolis,IN,,
Horizon League Championship,Basketball,,Corteva Coliseum,6800,Indianapolis,IN,,
University of Indianapolis,Basketball,,Nicoson Hall,4000,Indianapolis,IN,39.7087835,-86.1318902
BNP Paribas Open,Tennis,ATP,Indian Wells Tennis Garden,16100,Indian Wells,CA,33.7201239,-116.3012579
BNP Paribas Open,Tennis,ATP,Stadium 2,8000,Indian Wells,CA,33.7245704,-116.3029767
Los Angeles Rams,Football,NFL,SoFi Stadium,70240,Inglewood,CA,33.9534074,-118.3390098
